	x	nu_anom
182	1.140625e-02	2.287086e+08
183	1.146875e-02	2.594459e+08
184	1.153125e-02	2.919546e+08
185	1.159375e-02	3.269752e+08
186	1.165625e-02	3.658239e+08
187	1.171875e-02	4.087113e+08
188	1.178125e-02	4.564355e+08
189	1.184375e-02	5.086365e+08
190	1.190625e-02	5.684769e+08
191	1.196875e-02	6.354421e+08
192	1.203125e-02	7.117342e+08
193	1.209375e-02	8.011329e+08
194	1.215625e-02	9.086287e+08
195	1.221875e-02	1.038408e+09
196	1.228125e-02	1.198972e+09
197	1.234375e-02	1.414300e+09
198	1.240625e-02	1.732193e+09
199	1.246875e-02	2.261772e+09
200	1.253125e-02	3.257401e+09
201	1.259375e-02	5.720190e+09
202	1.265625e-02	1.680336e+10
203	1.271875e-02	1.000000e-10
204	1.278125e-02	1.000000e-10
205	1.284375e-02	1.000000e-10
206	1.290625e-02	1.000000e-10
207	1.296875e-02	1.000000e-10
208	1.303125e-02	1.000000e-10
209	1.309375e-02	1.000000e-10
210	1.315625e-02	1.000000e-10
211	1.321875e-02	1.000000e-10
212	1.328125e-02	1.000000e-10
213	1.334375e-02	1.000000e-10
214	1.340625e-02	1.000000e-10
215	1.346875e-02	1.000000e-10
216	1.353125e-02	1.000000e-10
217	1.359375e-02	1.000000e-10
218	1.365625e-02	1.000000e-10
219	1.371875e-02	1.000000e-10
220	1.378125e-02	1.000000e-10
221	1.384375e-02	1.000000e-10
222	1.390625e-02	1.000000e-10
223	1.396875e-02	1.000000e-10
224	1.403125e-02	1.000000e-10
225	1.409375e-02	1.000000e-10
226	1.415625e-02	1.000000e-10
227	1.421875e-02	1.000000e-10
228	1.428125e-02	1.000000e-10
229	1.434375e-02	1.000000e-10
230	1.440625e-02	1.000000e-10
231	1.446875e-02	1.000000e-10
232	1.453125e-02	1.000000e-10
233	1.459375e-02	1.000000e-10
234	1.465625e-02	1.000000e-10
235	1.471875e-02	1.000000e-10
236	1.478125e-02	1.000000e-10
237	1.484375e-02	1.000000e-10
238	1.490625e-02	1.000000e-10
239	1.496875e-02	1.000000e-10
240	1.503125e-02	1.000000e-10
241	1.509375e-02	1.000000e-10
242	1.515625e-02	1.000000e-10
243	1.521875e-02	1.000000e-10
244	1.528125e-02	1.000000e-10
245	1.534375e-02	1.000000e-10
246	1.540625e-02	1.000000e-10
247	1.546875e-02	1.000000e-10
248	1.553125e-02	1.000000e-10
249	1.559375e-02	1.000000e-10
250	1.565625e-02	1.000000e-10
251	1.571875e-02	1.000000e-10
252	1.578125e-02	1.000000e-10
253	1.584375e-02	1.000000e-10
254	1.590625e-02	1.000000e-10
255	1.596875e-02	1.000000e-10
256	1.603125e-02	1.000000e-10
257	1.609375e-02	1.000000e-10
258	1.615625e-02	1.000000e-10
259	1.621875e-02	1.000000e-10
260	1.628125e-02	1.000000e-10
261	1.634375e-02	1.000000e-10
262	1.640625e-02	1.000000e-10
263	1.646875e-02	1.000000e-10
264	1.653125e-02	1.000000e-10
265	1.659375e-02	1.000000e-10
266	1.665625e-02	1.000000e-10
267	1.671875e-02	1.000000e-10
268	1.678125e-02	1.000000e-10
269	1.684375e-02	1.000000e-10
270	1.690625e-02	1.000000e-10
271	1.696875e-02	1.000000e-10
272	1.703125e-02	1.000000e-10
273	1.709375e-02	1.000000e-10
274	1.715625e-02	1.000000e-10
275	1.721875e-02	1.000000e-10
276	1.728125e-02	1.000000e-10
277	1.734375e-02	1.000000e-10
278	1.740625e-02	1.000000e-10
279	1.746875e-02	1.000000e-10
280	1.753125e-02	1.000000e-10
281	1.759375e-02	1.000000e-10
282	1.765625e-02	1.000000e-10
283	1.771875e-02	1.000000e-10
284	1.778125e-02	1.000000e-10
285	1.784375e-02	1.000000e-10
286	1.790625e-02	1.000000e-10
287	1.796875e-02	1.000000e-10
288	1.803125e-02	1.000000e-10
289	1.809375e-02	7.076645e+09
290	1.815625e-02	2.021935e+09
291	1.821875e-02	1.059600e+09
